Index     Term                DF   
6880      interven            17   
6881      intervent           14   
6882      interview           120  
6883      intifada            1    
6884      intim               1    
6885      intimid             7    
6886      into                2    
6887      intoler             2    
6888      intox               6    
6889      intransit           1    
6890      intric              2    
6891      intricaci           1    
6892      intrigu             5    
6893      introduc            14   
6894      introduct           2    
6895      introductori        1    
6896      introspect          1    
6897      intrus              1    
6898      intyr               2    
6899      inund               2    
6900      invad               2    
6901      invalid             7    
6902      invas               5    
6903      invent              7    
6904      invertedv           1    
6905      invest              34   
6906      investbanka         1    
6907      investig            279  
6908      investigat          1    
6909      investor            16   
6910      invigor             1    
6911      invinc              2    
6912      inviol              1    
6913      invit               26   
6914      invok               1    
6915      involv              137  
6916      inward              2    
6917      iowa                11   
6918      ipd                 1    
6919      ira                 3    
6920      iran                15   
6921      irancontra          1    
6922      iranian             3    
6923      iranianback         2    
6924      iraniraq            2    
6925      iraq                24   
6926      iraqi               7    
6927      iraqiran            1    
6928      irina               2    
6929      irish               1    
6930      iron                17   
6931      ironfist            14   
6932      ironi               1    
6933      irrat               1    
6934      irregular           17   
6935      irrelev             2    
6936      irrespons           3    
6937      irrevers            4    
6938      irrevoc             2    
6939      irrit               1    
6940      irv                 24   
6941      is                  53   
6942      isabela             1    
6943      ise                 1    
6944      isff                1    
6945      isham               2    
6946      isl                 1    
6947      islam               67   
6948      islamabad           4    
6949      islamicmilit        1    
6950      islamist            1    
6951      island              23   
6952      islyki              1    
6953      ismael              3    
6954      isnt                2    
6955      isol                34   
6956      isolationist        1    
6957      isra                40   
6958      israel              72   
6959      israeliegyptian     1    
6960      israelipalestinian  9    
6961      israelpalestinian   1    
6962      issu                161  
6963      issuanc             3    
6964      istanbul            1    
6965      it                  320  
6966      itali               11   
6967      italian             5    
6968      itartass            4    
6969      itch                2    
6970      item                7    
6971      itf                 1    
6972      ithaca              2    
6973      itiner              1    
6974      itinerari           4    
6975      itll                2    
6976      itogi               2    
6977      itself              25   
6978      iv                  1    
6979      iva                 6    
6980      ivan                4    
6981      ivanak              1    
6982      ivanov              20   
6983      ivashkov            1    
6984      ive                 56   
6985      ivo                 1    
6986      ivoirian            6    
6987      ivoirit             2    
6988      ivon                2    
6989      ivori               51   
6990      ivorian             24   
6991      ivorianborn         3    
6992      iwo                 2    
6993      izetbegov           1    
6994      j                   12   
6995      ja                  1    
6996      jaar                2    
6997      jack                20   
6998      jacket              6    
6999      jackhamm            2    
7000      jacki               4    
7001      jackson             4    
7002      jacksonvil          2    
7003      jacob               1    
7004      jacobson            1    
7005      jacqu               7    
7006      jag                 8    
7007      jagdishthandra      1    
7008      jagland             3    
7009      jai                 1    
7010      jail                55   
7011      jailbreak           1    
7012      jaim                5    
7013      jaisalm             1    
7014      jakarta             1    
7015      jake                25   
7016      jalpataua           5    
7017      jam                 13   
7018      jamal               6    
7019      jambiya             1    
7020      jame                56   
7021      jami                2    
7022      jan                 42   
7023      jana                1    
7024      janata              3    
7025      jane                9    
7026      janel               1    
7027      janet               16   
7028      janett              2    
7029      jang                2    
7030      jangonibi           1    
7031      janiss              3    
7032      janitor             1    
7033      jankov              1    
7034      januari             22   
7035      japan               64   
7036      japanes             36   
7037      jarcob              1    
7038      jason               1    
7039      jauntier            1    
7040      javier              7    
7041      jay                 3    
7042      jayantil            1    
7043      jayn                5    
7044      jayshre             1    
7045      jaysukhlalani       1    
7046      jazera              1    
7047      jd                  1    
7048      jealous             1    
7049      jean                50   
7050      jeanbaptist         1    
7051      jeann               1    
7052      jeanni              2    
7053      jeanpierr           2    
7054      jeanren             2    
7055      jeanyv              1    
7056      jeb                 2    
7057      jeep                11   
7058      jeevan              1    
7059      jeff                4    
7060      jefferson           15   
7061      jefford             2    
7062      jehangir            1    
7063      jelena              8    
7064      jen                 4    
7065      jenna               2    
7066      jenni               1    
7067      jennif              44   
7068      jeopard             1    
7069      jeopardi            2    
7070      jerica              1    
7071      jerk                1    
7072      jerom               3    
7073      jerri               9    
7074      jerrold             1    
7075      jerryrig            1    
7076      jersey              19   
7077      jerudong            1    
7078      jerusalem           10   
7079      jess                2    
7080      jessi               2    
7081      jesu                2    
7082      jet                 19   
7083      jethwa              1    
7084      jew                 5    
7085      jewel               1    
7086      jewelri             3    
7087      jewish              12   
7088      jhonni              1    
7089      jiang               7    
7090      jiddah              1    
7091      jig                 1    
7092      jihad               20   
7093      jihadi              1    
7094      jihadist            2    
7095      jim                 51   
7096      jima                2    
7097      jimen               1    
7098      jimmi               10   
7099      jingqian            1    
7100      jiri                11   
7101      jiten               1    
7102      jitsukawa           1    
7103      jo                  9    
7104      joachim             1    
7105      joan                4    
7106      job                 102  
7107      jobe                1    
7108      jobless             2    
7109      jobrel              1    
7110      jochamowitz         2    
7111      jockey              1    
7112      jocular             1    
7113      jodi                3    
7114      joe                 5    
7115      joel                1    
7116      joerg               1    
7117      jog                 1    
7118      johann              1    
7119      johansson           3    
7120      john                135  
7121      johnn               1    
7122      johnni              1    
7123      johnson             14   
7124      join                117  
7125      joint               31   
7126      jointli             1    
7127      joke                16   
7128      jolt                8    
7129      jon                 14   
7130      jonathan            12   
7131      jone                13   
7132      jong                2    
7133      jordan              11   
7134      jordanian           4    
7135      jorg                3    
7136      joschka             2    
7137      jose                16   
7138      joseph              43   
7139      josh                1    
7140      joshi               1    
7141      joshua              3    
7142      josip               1    
7143      jospin              1    
7144      jostl               2    
7145      journalist          37   
7146      journey             19   
7147      journeyni           1    
7148      joust               2    
7149      jovanov             1    
7150      jovic               1    
7151      joy                 12   
7152      joyou               4    
7153      joyous              1    
7154      joyrid              1    
7155      joytosna            3    
7156      jr                  26   
7157      jrm                 1    
7158      juan                17   
7159      juana               1    
7160      juarez              1    
7161      jubil               13   
7162      judd                4    
7163      judg                63   
7164      judgement           1    
7165      judgeship           1    
7166      judgment            9    
7167      judi                3    
7168      judici              24   
7169      judiciari           12   
7170      judith              4    
7171      juelusspeak         1    
7172      jug                 1    
7173      juggler             1    
7174      jugic               1    
7175      jukic               1    
7176      jul                 1    
7177      juli                60   
7178      julio               4    
7179      jumbl               2    
7180      jump                17   
7181      jumper              1    
7182      jumpstart           1    
7183      junction            1    
7184      june                41   
7185      jungl               1    
7186      junior              9    
7187      junk                10   
7188      junta               22   
7189      juntaback           6    
7190      jurenovich          3    
7191      jurgua              1    
7192      juri                12   
7193      jurisdict           2    
7194      jurisprud           1    
7195      jurist              1    
7196      juror               2    
7197      juryrig             2    
7198      just                13   
7199      justic              101  
7200      justif              5    
7201      justifi             12   
7202      justin              7    
7203      k                   7    
7204      kafelnikov          29   
7205      kaffu               1    
7206      kahn                4    
7207      kalamazoo           2    
7208      kalashnikov         2    
7209      kalemegdan          1    
7210      kalmen              1    
7211      kaluga              1    
7212      kamarau             1    
7213      kamikaz             3    
7214      kamisar             1    
7215      kan                 3    
7216      kandahar            3    
7217      kansa               14   
7218      kansara             1    
7219      karachi             3    
7220      karadich            1    
7221      karadjordjev        1    
7222      karadz              3    
7223      karamo              1    
7224      karat               1    
7225      karen               1    
7226      karim               1    
7227      karin               2    
7228      karisma             1    
7229      karita              1    
7230      karl                2    
7231      karol               3    
7232      karuth              1    
7233      kashmir             2    
7234      kasich              1    
7235      kasra               1    
7236      katarina            1    
7237      kathi               1    
7238      kathia              3    
7239      kathleen            4    
7240      kati                3    
7241      katmandu            1    
7242      katzenbach          1    
7243      kay                 5    
7244      kcep                3    
7245      kearney             1    
7246      keedysvil           1    
7247      keel                7    
7248      keeler              1    
7249      keen                2    
7250      keenwit             1    
7251      keep                131  
7252      keith               11   
7253      kelli               2    
7254      kemba               2    
7255      kemp                4    
7256      ken                 7    
7257      kendal              1    
7258      kendel              1    
7259      kenedi              19   
7260      kennedi             22   
7261      kenneth             22   
7262      kenni               1    
7263      kent                4    
7264      kentucki            6    
7265      kenya               39   
7266      kenyan              2    
7267      kenzo               3    
7268      kept                62   
7269      kera                1    
7270      kerchief            1    
7271      kerrey              1    
7272      kerri               2    
7273      keshubhai           4    
7274      ketan               1    
7275      kevin               6    
7276      key                 70   
7277      keyboard            3    
7278      keyston             2    
7279      kft                 1    
7280      kgb                 5    
7281      kha                 7    
7282      khai                1    
7283      khaldei             1    
7284      khale               4    
7285      khalifa             3    
7286      khoan               1    
7287      khobar              8    
7288      khou                1    
7289      khoutv              1    
7290      ki                  1    
7291      kick                14   
7292      kickback            6    
7293      kid                 9    
7294      kidnap              31   
7295      kidnapp             6    
7296      kidney              6    
7297      kiefer              4    
7298      kieli               1    
7299      kielli              1    
7300      kill                431  
7301      killer              21   
7302      kilomet             3    
7303      kim                 20   
7304      kin                 2    
7305      kind                115  
7306      kinda               2    
7307      kinder              1    
7308      king                17   
7309      kingdom             3    
7310      kingsvil            1    
7311      kinship             1    
7312      kipper              1    
7313      kirk                17   
7314      kirti               1    
7315      kiss                8    
7316      kissimme            1    
7317      kit                 12   
7318      kitchen             11   
7319      kitkat              1    
7320      kitti               2    
7321      kktv                4    
7322      kktvtv              1    
7323      klebanov            9    
7324      klempson            1    
7325      kline               2    
7326      klink               3    
7327      kmov                5    
7328      kn                  3    
7329      knack               2    
7330      knee                2    
7331      kneel               2    
7332      knew                54   
7333      knez                1    
7334      knife               5    
7335      knifeedg            1    
7336      knippschild         1    
7337      knive               4    
7338      knock               28   
7339      knockout            1    
7340      knot                1    
7341      know                247  
7342      knowingli           1    
7343      knowledg            16   
7344      known               142  
7345      knoxvil             5    
7346      kobe                1    
7347      koch                1    
7348      kofi                13   
7349      kohl                2    
7350      kohut               1    
7351      kokilabehn          1    
7352      koler               3    
7353      koleskinov          1    
7354      kolesnikov          13   
7355      kollek              1    
7356      kolubara            17   
7357      kolubarska          1    
7358      komasagua           1    
7359      komers              2    
7360      komsomolskaya       1    
7361      konan               12   
7362      kone                3    
7363      kong                1    
7364      konsensu            1    
7365      korac               4    
7366      koran               2    
7367      korea               11   
7368      korean              8    
7369      koreanmad           1    
7370      korhogo             8    
7371      kornblum            1    
7372      korton              1    
7373      koryerov            1    
7374      kosovar             3    
7375      kosovo              47   
7376      kosovoalbanian      1    
7377      kosovor             1    
7378      kosovska            1    
7379      kostinitca          1    
7380      kostolac            1    
7381      kostrolot           1    
7382      kostroma            1    
7383      kostunica           103  
7384      kothari             1    
7385      kouassi             1    
7386      kournikova          22   
7387      kovac               1    
7388      kovacev             4    
7389      kragujevac          2    
7390      kraljevo            1    
7391      krall               1    
7392      krasnaya            1    
7393      kratochvil          2    
7394      krauss              1    
7395      kremlin             3    
7396      krin                1    
7397      krishna             1    
7398      kristen             1    
7399      kristi              1    
7400      kristina            1    
7401      krugel              2    
7402      kubikov             1    
7403      kucera              3    
7404      kuchera             1    
7405      kuerten             16   
7406      kuerton             1    
7407      kugel               1    
7408      kuluada             1    
7409      kumamoto            1    
7410      kumbh               3    
7411      kumsomolitz         1    
7412      kuntal              3    
7413      kurd                1    
7414      kuroyedov           5    
7415      kursk               55   
7416      kursumlija          1    
7417      kusatv              1    
7418      kusi                1    
7419      kutch               3    
7420      kuwait              15   
7421      kuwaiti             1    
7422      kvashnin            1    
7423      kyl                 3    
7424      kyushu              2    
7425      l                   8    
7426      la                  33   
7427      lab                 8    
7428      label               7    
7429      labor               23   
7430      laboratori          12   
7431      labori              1    
7432      labu                1    
7433      lac                 1    
7434      lace                3    
7435      lacey               1    
7436      lacina              1    
7437      lack                46   
7438      lackey              3    
7439      lacki               1    
7440      ladder              5    
7441      laden               87   
7442      ladeninspir         1    
7443      ladi                32   
7444      lae                 1    
7445      lafayett            2    
7446      lag                 3    
7447      lahat               1    
7448      lahej               5    
7449      lahiri              1    
7450      laid                16   
7451      laidback            1    
7452      laidout             1    
7453      lain                2    
7454      lair                1    
7455      lake                6    
7456      lakeina             2    
7457      lakiba              2    
7458      lakshmi             3    
7459      lal                 1    
7460      lam                 4    
7461      lamb                1    
7462      lambast             1    
7463      lambent             1    
7464      lambert             2    
7465      lameduck            2    
7466      lament              3    
7467      lamont              1    
7468      lamp                2    
7469      lan                 2    
7470      lancast             1    
7471      lanchin             1    
7472      land                53   
7473      landlord            6    
7474      landmark            6    
7475      landmin             1    
7476      landown             1    
7477      landscap            3    
7478      landslid            42   
7479      landstuhl           21   
7480      lane                3    
7481      lang                1    
7482      langdon             1    
7483      langhorn            1    
7484      langston            1    
7485      languag             16   
7486      languish            2    
7487      lans                1    
7488      lanviara            1    
7489      lao                 4    
7490      lap                 2    
7491      lapdog              1    
7492      lapel               3    
7493      lapentti            1    
7494      laps                16   
7495      laquawensa          1    
7496      lar                 3    
7497      lara                5    
7498      lard                1    
7499      larg                113  
7500      larger              31   
7501      largerthanlif       2    
7502      largescal           3    
7503      largess             1    
7504      largest             78   
7505      laron               1    
7506      larri               34   
7507      larson              3    
7508      lasal               1    
7509      laser               2    
7510      lash                5    
7511      last                503  
7512      lastday             1    
7513      lastdayinoffic      1    
7514      lastditch           3    
7515      lastminut           10   
7516      latch               2    
7517      late                159  
7518      latecom             2    
7519      latenight           1    
7520      latent              2    
7521      later               193  
7522      latest              60   
7523      latham              3    
7524      latifah             1    
7525      latin               18   
7526      latter              2    
7527      laud                4    
7528      lauderdal           2    
7529      laugh               6    
7530      laughter            2    
7531      launch              51   
7532      launder             23   
7533      laundri             1    
7534      laura               4    
7535      lauran              1    
7536      laurent             29   
7537      lauri               1    
7538      lautenberg          6    
7539      laver               11   
7540      lavish              2    
7541      lavishli            1    
7542      law                 118  
7543      lawabid             1    
7544      lawandord           1    
7545      lawenforc           2    
7546      lawless             6    
7547      lawmak              41   
7548      lawn                5    
7549      lawrenc             10   
7550      lawsuit             2    
7551      lawton              3    
7552      lawyer              72   
7553      lax                 7    
7554      laxiti              2    
7555      laxman              3    
7556      lay                 24   
7557      layer               3    
7558      layoff              2    
7559      layov               3    
7560      lazarevac           1    
7561      lazi                1    
7562      lazili              1    
7563      lazio               15   
7564      lazo                1    
7565      le                  8    
7566      lead                179  
7567      leadem              1    
7568      leader              300  
7569      leadership          34   
7570      leagu               4    
7571      leak                15   
7572      lean                7    
7573      leap                4    
7574      leapahead           1    
7575      learn               59   
7576      learnt              2    
7577      leas                1    
7578      least               209  
7579      leather             2    
7580      leav                195  
7581      leavenworth         2    
7582      leaveorstay         3    
7583      leavitt             1    
7584      lebanes             3    
7585      lebanon             12   
7586      lectur              2    
7587      led                 118  
7588      lee                 13   
7589      leechinfest         4    
7590      lefortovo           14   
7591      lefrotovo           1    
7592      left                245  
7593      leftist             20   
7594      leftlean            6    
7595      leftov              4    
7596      leg                 37   
7597      legaci              12   
7598      legal               66   
7599      legend              5    
7600      legendari           2    
7601      legion              1    
7602      legisl              36   
7603      legislatur          19   
7604      legitim             12   
7605      legitimaci          11   
7606      lehan               1    
7607      lehrer              3    
7608      leicest             1    
7609      leidig              1    
7610      lend                11   
7611      lender              2    
7612      lendl               1    
7613      length              8    
7614      lengthi             9    
7615      lenienc             4    
7616      lenient             1    
7617      leningradski        2    
7618      lennard             1    
7619      lent                1    
7620      leon                5    
7621      leonard             12   
7622      leposava            1    
7623      leprinc             1    
7624      lesbian             1    
7625      lesion              1    
7626      lesley              1    
7627      lesli               2    
7628      less                93   
7629      lessdamag           2    
7630      lessen              1    
7631      lesser              4    
7632      lesson              12   
7633      lessongiv           2    
7634      lest                1    
7635      let                 116  
7636      letdown             1    
7637      lethal              2    
7638      letter              75   
7639      letterwrit          1    
7640      letup               1    
7641      leve                1    
7642      level               94   
7643      lever               3    
7644      leverag             2    
7645      lewi                1    
7646      lewinski            3    
7647      lexingtonfrankfort  4    
7648      lg                  1    
7649      li                  3    
7650      liabil              1    
7651      liar                5    
7652      libbi               2    
7653      liber               29   
7654      liberia             3    
7655      liberti             8    
7656      libido              1    
7657      librari             3    
7658      libya               3    
7659      libyan              3    
7660      licens              19   
7661      lid                 1    
7662      lida                1    
7663      lie                 45   
7664      lieberman           26   
7665      lien                1    
7666      lieuten             14   
7667      lieutenantcaptain   1    
7668      life                132  
7669      lifeless            1    
7670      lifelong            1    
7671      lifestyl            2    
7672      lifetim             4    
7673      lift                81   
7674      light               45   
7675      lightblu            1    
7676      lightbrown          2    
7677      lightbulb           1    
7678      lighter             2    
7679      lightheartedli      2    
7680      lightli             4    
7681      lightn              4    
7682      like                347  
7683      likelihood          3    
7684      liken               1    
7685      likin               2    
7686      lilic               1    
7687      lima                33   
7688      limb                12   
7689      lime                4    
7690      limit               37   
7691      limousin            10   
7692      limp                5    
7693      limpli              1    
7694      lincoln             7    
7695      linda               7    
7696      lindenhurt          2    
7697      lindi               1    
7698      lindsay             41   
7699      lindsey             2    
7700      line                156  
7701      lineman             1    
7702      liner               1    
7703      lineup              4    
7704      linger              16   
7705      linguist            1    
7706      link                83   
7707      lion                1    
7708      lionel              1    
7709      lioniz              1    
7710      lip                 2    
7711      lipent              1    
7712      lippin              1    
7713      lippold             18   
7714      liquid              2    
7715      lir                 1    
7716      lisa                17   
7717      lisnard             2    
7718      list                97   
7719      listen              28   
7720      lister              1    
7721      lists               1    
7722      lit                 7    
7723      liter               12   
7724      literaci            1    
7725      literatur           2    
7726      lith                1    
7727      liton               1    
7728      litter              3    
7729      littl               160  
7730      littleknown         2    
7731      litton              6    
7732      littor              1    
7733      liturgi             1    
7734      liv                 1    
7735      live                215  
7736      liveliest           1    
7737      liver               1    
7738      llagostera          3    
7739      lleyton             7    
7740      llosa               3    
7741      lloyd               3    
7742      lo                  16   
7743      load                50   
7744      loader              5    
7745      loan                22   
7746      loayza              2    
7747      lob                 8    
7748      lobbi               7    
7749      lobbyist            1    
7750      lobito              2    
7751      local               100  
7752      locani              2    
7753      locat               49   
7754      lock                19   
7755      locker              1    
7756      lockerbi            2    
7757      lockup              1    
7758      locu                1    
7759      lodg                1    
7760      loft                2    
7761      lofti               2    
7762      loftiest            1    
7763      log                 6    
7764      logic               5    
7765      logist              12   
7766      logvinovich         1    
7767      lohna               1    
7768      loi                 1    
7769      loit                1    
7770      london              26   
7771      londonbas           7    
7772      lone                8    
7773      long                214  
7774      longabandon         2    
7775      longbitt            1    
7776      longer              64   
7777      longerterm          2    
7778      longest             1    
7779      longestsought       1    
7780      longestsurviv       1    
7781      longev              1    
7782      longhair            1    
7783      longplan            1    
7784      longrang            1    
7785      longreach           1    
7786      longres             2    
7787      longrul             2    
7788      longshot            2    
7789      longsimm            2    
7790      longstand           8    
7791      longsuff            1    
7792      longsuppress        1    
7793      longterm            9    
7794      longtim             30   
7795      look                219  
7796      lookout             3    
7797      lookse              1    
7798      loom                7    
7799      loop                1    
7800      loophol             2    
7801      loos                23   
7802      looseend            1    
7803      loosen              7    
7804      looser              2    
7805      loot                11   
7806      lopez               6    
7807      lopsid              4    
7808      loran               6    
7809      lord                6    
7810      lore                1    
7811      lorensen            1    
7812      lorenzo             6    
7813      lori                1    
7814      loron               2    
7815      lorri               1    
7816      lose                79   
7817      loser               7    
7818      loss                62   
7819      lost                150  
7820      lot                 132  
7821      lott                6    
7822      lotteri             1    
7823      lou                 1    
7824      loud                13   
7825      loudli              1    
7826      loudspeak           9    
7827      loug                1    
7828      loui                65   
7829      louisarea           1    
7830      louisiana           6    
7831      louisvil            4    
7832      lourd               1    
7833      lousi               3    
7834      love                49   
7835      low                 36   
7836      lowcut              2    
7837      lowel               3    
7838      lower               24   
7839      lowerlevel          1    
7840      lowerrank           1    
7841      lowest              4    
7842      lowestseed          1    
7843      lowgrad             4    
7844      lowincom            2    
7845      lowkey              3    
7846      lowlevel            6    
7847      lowprofil           2    
7848      lowtech             2    
7849      loyal               16   
7850      loyalist            17   
7851      loyalti             8    
7852      lsd                 1    
7853      lt                  53   
7854      ltd                 2    
7855      lubbock             1    
7856      luci                1    
7857      lucia               2    
7858      luciano             1    
7859      lucio               2    
7860      luck                4    
7861      lucki               20   
7862      luckier             1    
7863      luckiest            3    
7864      lucr                2    
7865      ludwig              1    
7866      lugar               3    
7867      luggag              1    
7868      lui                 8    
7869      lukin               1    
7870      lumber              3    
7871      lumberjack          1    
7872      luna                1    
7873      lunch               12   
7874      luncheon            3    
7875      lunchtim            2    
7876      lung                9    
7877      luong               6    
7878      lurid               1    
7879      lurin               1    
7880      lush                1    
7881      lust                1    
7882      luther              2    
7883      lutheran            1    
7884      luxembourg          3    
7885      luxor               2    
7886      luxuri              5    
7887      lvador              1    
7888      lyhoogatnytimescom  1    
7889      lynch               2    
7890      lyndon              8    
7891      lynn                2    
7892      lyon                1    
7893      lyric               3    
7894      m                   16   
7895      m16                 1    
7896      mac                 4    
7897      macarthur           1    
7898      macdonald           4    
7899      maceda              11   
7900      macedonia           2    
7901      machaca             3    
7902      machet              6    
7903      machin              23   
7904      machineri           4    
7905      machinist           1    
7906      mack                8    
7907      macon               1    
7908      mad                 4    
7909      madden              1    
7910      maddock             1    
7911      made                293  
7912      madelein            42   
7913      madelin             4    
7914      madinat             1    
7915      madison             3    
7916      madix               1    
7917      madra               4    
7918      madrassah           1    
7919      madrid              14   
7920      maelstrom           1    
7921      mafia               3    
7922      magana              6    
7923      maganbhai           4    
7924      magazin             13   
7925      mager               1    
7926      maggi               1    
7927      magic               2    
7928      magistr             3    
7929      magnanim            3    
7930      magnat              3    
7931      magnet              1    
7932      magnifi             4    
7933      magnific            1    
7934      magnitogorsk        2    
7935      magnitud            40   
7936      magnitude57         1    
7937      magnitude6          3    
7938      magnitude76         7    
7939      magnitude79         4    
7940      magnu               14   
7941      magnum              4    
7942      mahajan             2    
7943      mahatma             1    
7944      mahesh              1    
7945      mahmood             1    
7946      mahmoud             1    
7947      mahogani            1    
7948      mahopac             1    
7949      mahur               3    
7950      maiden              1    
7951      mail                14   
7952      maim                3    
7953      main                117  
7954      mainagashev         1    
7955      mainland            1    
7956      mainli              17   
7957      mainstay            1    
7958      maintain            48   
7959      mainten             19   
7960      mainupl             1    
7961      maj                 5    
7962      majdanpek           1    
7963      majoli              6    
7964      major               198  
7965      majorityalbanian    1    
7966      majorparti          1    
7967      make                263  
7968      maker               2    
7969      makeshift           17   
7970      maketa              1    
7971      makeup              1    
7972      malaysia            4    
7973      malaysian           3    
7974      malca               1    
7975      malcolm             2    
7976      male                2    
7977      malevol             4    
7978      malfunct            13   
7979      malhotra            1    
7980      mali                3    
7981      malic               2    
7982      maliss              1    
7983      malivai             1    
7984      mall                5    
7985      malnourish          1    
7986      malnutrit           1    
7987      malon               1    
7988      maloney             2    
7989      mama                1    
7990      mamad               2    
7991      mamansk             1    
7992      mammoth             2    
7993      man                 202  
7994      manag               88   
7995      manama              4    
7996      mananga             1    
7997      manannikova         1    
7998      manau               1    
7999      manchest            1    
8000      mandat              9    
8001      mandatori           7    
8002      mandela             1    
8003      maneuv              27   
8004      mangal              1    
8005      mangl               12   
8006      mangu               1    
8007      manhattan           10   
8008      manhunt             27   
8009      mani                345  
8010      mania               3    
8011      manifest            1    
8012      manifold            1    
8013      manind              1    
8014      manipul             27   
8015      manmad              2    
8016      mann                4    
8017      manner              15   
8018      manorama            1    
8019      mansfield           1    
8020      mansi               1    
8021      mansion             21   
8022      mansiz              2    
8023      mansoob             1    
8024      mansoon             1    
8025      mantra              4    
8026      manual              2    
8027      manuel              5    
8028      manufactur          12   
8029      maoist              2    
8030      map                 8    
8031      maquiladora         1    
8032      mar                 20   
8033      maradiaga           1    
8034      maraniss            1    
8035      marat               27   
8036      marathon            6    
8037      marbella            1    
8038      marbl               2    
8039      marblehal           1    
8040      marburi             1    
8041      marc                23   
8042      marcela             1    
8043      marcelo             2    
8044      march               59   
8045      marchenko           1    
8046      marcher             6    
8047      marci               1    
8048      marco               7    
8049      marg                1    
8050      margaret            4    
8051      margin              25   
8052      margolin            2    
8053      mari                27   
8054      maria               13   
8055      mariam              1    
8056      mariana             2    
8057      mariano             1    
8058      marietta            3    
8059      marija              1    
8060      marijuana           5    
8061      marilyn             4    
8062      marin               39   
8063      marineborn          1    
8064      mario               9    
8065      marit               2    
8066      maritim             17   
8067      marjanov            2    
8068      mark                85   
8069      market              33   
8070      marketplac          2    
8071      marko               11   
8072      markov              10   
8073      marlborough         2    
8074      marlen              2    
8075      marlin              15   
8076      marlton             1    
8077      marmian             1    
8078      maroon              1    
8079      marquez             15   
8080      marrero             2    
8081      marri               7    
8082      marriag             5    
8083      marroquin           1    
8084      marrow              1    
8085      marsha              1    
8086      marshal             12   
8087      marshallfor         1    
8088      marshallreport      1    
8089      marta               2    
8090      martha              2    
8091      marti               1    
8092      martial             1    
8093      martin              20   
8094      martina             40   
8095      martinez            8    
8096      martyr              3    
